album_id	rank_score	peak_position	week_count	date
5n1GSzC1Reao29ScnpLYqp	200	200	1	2018-12-29
6UYZEYjpN1DYRW0kqFy9ZE	199	200	3	2018-12-29
435mubtZvkoTYIPXWy3seP	198	200	11	2018-12-29
7uVimUILdzSZG4KKKWToq0	197	200	71	2018-12-29
35s58BRTGAEWztPo9WqCIs	196	196	0	2018-12-29
41GuZcammIkupMPKH2OJ6I	195	200	20	2018-12-29
6thZNGX8hUVSjUrqJgPB9b	194	194	8	2018-12-29
6i6folBtxKV28WX3msQ4FE	193	198	9	2018-12-29
1ATL5GLyefJaxhQzSPVrLX	192	200	25	2018-12-29
7ayBZIe1FHkNv0T5xFCX6F	191	200	54	2018-12-29
42eusslaYHJvhxttuMbwj9	190	190	0	2018-12-29
6trNtQUgC8cgbWcqoMYkOR	189	200	34	2018-12-29
3oXvzShPN8iY2P1UYl3WVJ	188	200	30	2018-12-29
61ulfFSmmxMhc2wCdmdMkN	187	198	80	2018-12-29
6vBGI5522jvPi0ZZuGQNp4	186	186	40	2018-12-29
7DuJYWu66RPdcekF5TuZ7w	185	185	71	2018-12-29
1qsQOC4Jn0fnaUZLAbs4dz	184	200	2	2018-12-29
68xKnVblFsSQ48CtgZT0oY	183	199	5	2018-12-29
4f8pX9Vjs9uU5aKjqDNcDO	182	199	4	2018-12-29
4iF44RCCybJtkBkMoqrLW2	181	199	3	2018-12-29
2kzkwgOFAtRsDsas5Hi0Qu	180	180	3	2018-12-29
6tkjU4Umpo79wwkgPMV3nZ	179	197	31	2018-12-29
3tx8gQqWbGwqIGZHqDNrGe	178	200	18	2018-12-29
2yXnY2NiaZk9QiJJittS81	177	197	11	2018-12-29
7gmak9ZGm10y4PtZa9SBQn	176	176	12	2018-12-29
6pmoTLfsPpn0wisT3YFJSN	175	198	15	2018-12-29
7maqqIx8xmxVYtjhQtbq98	174	174	34	2018-12-29
4KdtEKjY3Gi0mKiSdy96ML	173	200	37	2018-12-29
5xqQtdlJUY7Fg4BMp13LrX	172	196	2	2018-12-29
1lhNch5NkOONvFhRPh8qaj	171	197	81	2018-12-29
