song_id	lyrics
3e9HZxeyfWwjeyPAMmWSSQ	"['[Verse 1]\nThought I\'d end up with Sean\nBut he wasn\'t a match\nWrote some songs about Ricky\nNow I listen and laugh\nEven almost got married\nAnd for Pete, I\'m so thankful\nWish I could say, ""Thank you"" to Malcolm\n\'Cause he was an angel\n\n[Pre-Chorus]\nOne taught me love\nOne taught me patience\nAnd one taught me pain\nNow, I\'m so amazing\nSay I\'ve loved and I\'ve lost\nBut that\'s not what I see\nSo, look what I got\nLook what you taught me\nAnd for that, I say\n\n[Chorus]\nThank you, next (Next)\nThank you, next (Next)\nThank you, next\nI\'m so fuckin\' grateful for my ex\nThank you, next (Next)\nThank you, next (Next)\nThank you, next (Next)\nI\'m so fuckin\'—\n\n[Verse 2]\nSpend more time with my friends\nI ain\'t worried \'bout nothin\'\nPlus, I met someone else\nWe havin\' better discussions\nI know they say I move on too fast\nBut this one gon\' last\n\'Cause her name is Ari\nAnd I\'m so good with that (So good with that)\n\n[Pre-Chorus]\nShe taught me love (Love)\nShe taught me patience (Patience)\nHow she handles pain (Pain)\nThat shit\'s amazing (Yeah, she\'s amazing)\nI\'ve loved and I\'ve lost (Yeah, yeah)\nBut that\'s not what I see (Yeah, yeah)\n\'Cause look what I\'ve found (Yeah, yeah)\nAin\'t no need for searching, and for that, I say\n\n[Chorus]\nThank you, next (Thank you, next)\nThank you, next (Thank you, next)\nThank you, next (Thank you)\nI\'m so fuckin\' grateful for my ex\nThank you, next (Thank you, next)\nThank you, next (Said thank you, next)\nThank you, next (Next)\nI\'m so fuckin\' grateful for my ex\n\n[Post-Chorus]\nThank you, next\nThank you, next\nThank you, next\nI\'m so fuckin\'—\n\n[Bridge]\nOne day I\'ll walk down the aisle\nHolding hands with my mama\nI\'ll be thanking my dad\n\'Cause she grew from the drama\nOnly wanna do it once, real bad\nGon\' make that shit last\nGod forbid something happens\nLeast this song is a smash (Song is a smash)\n\n[Pre-Chorus]\nI\'ve got so much love (Love)\nGot so much patience (Patience)\nI\'ve learned from the pain (Pain)\nI turned out amazing (Turned out amazing)\nSay I\'ve loved and I\'ve lost (Yeah, yeah)\nBut that\'s not what I see (Yeah, yeah)\n\'Cause look what I\'ve found (Yeah, yeah)\nAin\'t no need for searching\nAnd for that, I say\n\n[Chorus]\nThank you, next (Thank you, next)\nThank you, next (Thank you, next)\nThank you, next\nI\'m so fuckin\' grateful for my ex\nThank you, next (Thank you, next)\nThank you, next (Said thank you, next)\nThank you, next (Next)\nI\'m so fuckin\' grateful for my ex\n\n[Post-Chorus]\nThank you, next\nThank you, next\nThank you, next\nYeah, yee\nThank you, next\nThank you, next\nThank you, next\nYeah, yee']"
5p7ujcrUXASCNwRaWNHR1C	"[""[Verse 1]\nFound you when your heart was broke\nI filled your cup until it overflowed\nTook it so far to keep you close (Keep you close)\nI was afraid to leave you on your own\n\n[Pre-Chorus]\nI said I'd catch you if you fall (Fall)\nAnd if they laugh, then fuck 'em all (All)\nAnd then I got you off your knees\nPut you right back on your feet\nJust so you could take advantage of me\n\n[Chorus]\nTell me, how's it feel sittin' up there?\nFeelin' so high, but too far away to hold me\nYou know I'm the one who put you up there\nName in the sky, does it ever get lonely?\nThinking you could live without me\nThinking you could live without me\nBaby, I'm the one who put you up there\nI don't know why (Yeah, I don't know why)\nThinking you could live without me\nLive without me\nBaby, I'm the one who put you up there\nI don't know why (I don't know why, yeah, yeah)\n\n[Verse 2]\nGave love 'bout a hundred tries (Hundred tries)\nJust running from the demons in your mind\nThen I took yours and made 'em mine (Mine)\nI didn't notice 'cause my love was blind\n\n[Pre-Chorus]\nSaid I'd catch you if you fall (Fall)\nAnd if they laugh, then fuck 'em all (All)\nAnd then I got you off your knees\nPut you right back on your feet\nJust so you could take advantage of me\n\n[Chorus]\nTell me, how's it feel sittin' up there?\nFeelin' so high but too far away to hold me\nYou know I'm the one who put you up there\nName in the sky, does it ever get lonely?\nThinking you could live without me\nThinking you could live without me\nBaby, I'm the one who put you up there\nI don't know why (Yeah, I don't know why)\nThinking you could live without me\nLive without me\nBaby, I'm the one who put you up there\nI don't know why, yeah\n\n[Bridge]\nYou don't have to say just what you did (What you did)\nI already know (I know)\nI had to go and find out from them (Oh-woah)\nSo tell me, how's it feel? (Oh-woah)\n\n[Chorus]\nTell me, how's it feel sittin' up there?\nFeelin' so high, but too far away to hold me\nYou know I'm the one who put you up there\nName in the sky, does it ever get lonely?\nThinking you could live without me\nThinking you could live without me\nBaby, I'm the one who put you up there\nI don't know why (Yeah, I don't know why)""]"
2xLMifQCjDGFmkHkpNLD9h	"['[Part I]\n\n[Intro: Drake]\nAstro, yeah\nSun is down, freezin\' cold\nThat\'s how we already know, winter\'s here\nMy dawg would probably do it for a Louis belt\nThat\'s just all he know, he don\'t know nothin\' else\nI tried to show \'em, yeah\nI tried to show \'em, yeah, yeah\nYeah, yeah, yeah\nGoin\' on you with the pick and roll\nYoung La Flame, he in sicko mode\n\n[Part II]\n\n[Verse 1: Travis Scott & The Notorious B.I.G.]\nWoo, made this here with all the ice on in the booth\nAt the gate outside, when they pull up, they get me loose\nYeah, Jump Out boys, that\'s Nike boys, hoppin\' out coupes\nThis shit way too big, when we pull up, give me the loot\n(Gimme the loot!)\nWas off the Remy, had a Papoose\nHad to hit my old town to duck the news\nTwo four hour lockdown, we made no moves\nNow it\'s 4 a.m. and I\'m back up poppin\' with the crew\nI just landed in, Chase B mixes pop like Jamba Juice\nDifferent colored chains, think my jeweler really sellin\' fruits\nAnd they chokin\', man, know the crackers wish it was a noose\n\n[Bridge: Big Hawk & Swae Lee]\nSome-Some-Some-Someone said\nTo win the retreat, we all in too deep\nPl-Pl-Playin\' for keeps, don\'t play us for weak (Someone said)\nTo win the retreat, we all in too deep\nPl-Pl-Playin\' for keeps, don\'t play us for weak\n\n[Verse 2: Travis Scott & Uncle Luke]\nYeah, this shit way too formal, y\'all know I don’t follow suit\nStacey Dash, most of these girls ain\'t got a clue\nAll of these hoes I made off records I produced\nI might take all my exes and put \'em all in a group\nHit my eses, I need the bootch\n\'Bout to turn this function to Bonnaroo\nTold her, ""Hop in, you comin\' too""\nIn the 305, bitches treat me like I\'m Uncle Luke\n(Don\'t stop, pop that pussy!)\nHad to slop the top off, it\'s just a roof, uh\nShe said, ""Where we goin\'?"" I said, ""The moon""\nWe ain\'t even make it to the room\nShe thought it was the ocean, it\'s just the pool\nNow I got her open, it\'s just the Goose\nWho put this shit together? I\'m the glue\n\n[Bridge: Travis Scott, Swae Lee & Big Hawk]\nSomeone said\nShorty FaceTimed me out the blue\nSomeone said\nPl-Playin\' for keeps\nSomeone said, motherfucker—someone said\nDon\'t play us for weak\n\n[Part III]\n\n[Intro: Travis Scott, Drake & Lil Juice]\nYeah!\nAstro, yeah, yeah\n(Tay Keith, fuck these niggas up!)\nAyy, ayy\n\n[Chorus: Drake & Travis Scott]\nShe\'s in love with who I am\nBack in high school, I used to bus it to the dance (Yeah)\nNow I hit the FBO with duffels in my hands\nI did half a Xan, 13 hours \'til I land\nHad me out like a light, ayy, yeah\nLike a light, ayy, yeah\n\n[Verse 3: Drake & Travis Scott]\nLike a light, ayy, slept through the flight, ayy\nKnocked for the night, ayy\n767, man, this shit got double bedroom, man\nI still got scores to settle, man\nI crept down the block (Down the block)\nMade a right (Yeah, right)\nCut the lights (Yeah, what?), paid the price (Yeah)\nNiggas think it\'s sweet (Nah, never), it\'s on sight (Yeah, what?)\nNothin\' nice (Yeah), baguettes in my ice (Aw, man)\nJesus Christ (Yeah), checks over stripes (Yeah)\nThat\'s what I like (Yeah), that\'s what we like (Yeah)\nLost my respect, you not a threat\nWhen I shoot my shot, that shit wetty like I\'m Sheck (Bitch)\nSee the shots that I took (Ayy), wet like I\'m Book (Ayy)\nWet like I\'m Lizzie\nI be spinnin\' Valley, circle blocks \'til I\'m dizzy (Yeah, what?)\nLike where is he? (Yeah, what?)\nNo one seen him (Yeah, yeah)\nI\'m tryna clean \'em (Yeah)\n\n[Chorus: Drake & Travis Scott]\nShe\'s in love with who I am\nBack in high school, I used to bus it to the dance\nNow I hit the FBO with duffels in my hands (Woo)\nI did half a Xan, 13 hours \'til I land\nHad me out like a light (Like a light)\nLike a light (Like a light)\nLike a light (Like a light)\nLike a light\n\n[Verse 4: Travis Scott]\nYeah, passed the dawgs a celly\nSendin\' texts, ain\'t sendin\' kites, yeah\nHe said, ""Keep that on lock""\nI say, ""You know this shit, it\'s stife,"" yeah\nIt\'s absolute, yeah (Yeah), I\'m back, reboot (It\'s lit)\nLaFerrari to Jamba Juice, yeah (Skrrt, skrrt)\nWe back on the road, they jumpin\' off, no parachute, yeah\nShawty in the back\nShe said she workin\' on her glutes, yeah (Oh my God)\nAin\'t by the book, yeah, this how it look, yeah\n\'Bout a check, yeah (Check), just check the foots, yeah\nPass this to my daughter, I\'ma show her what it took (Yeah)\nBaby mama cover Forbes, got these other bitches shook\nYeah']"
3KkXRkHbMCARz0aVfEt68P	
1rqqCSm0Qe4I9rUvWncaom	"[""[Intro]\nHigh, high hopes\n\n[Chorus]\nHad to have high, high hopes for a living\nShooting for the stars when I couldn't make a killing\nDidn't have a dime but I always had a vision\nAlways had high, high hopes (High, high hopes)\nHad to have high, high hopes for a living\nDidn't know how but I always had a feeling\nI was gonna be that one in a million\nAlways had high, high hopes\n\n[Verse 1]\nMama said, fulfill the prophecy\nBe something greater, go make a legacy\nManifest destiny, back in the days\nWe wanted everything, wanted everything\nMama said, burn your biographies\nRewrite your history, light up your wildest dreams\nMuseum victories, every day\nWe wanted everything, wanted everything\n\n[Pre-Chorus]\nMama said don't give up, it's a little complicated\nAll tied up, no more love and I'd hate to see you waiting\n\n[Chorus]\nHad to have high, high hopes for a living\nShooting for the stars when I couldn't make a killing\nDidn't have a dime but I always had a vision\nAlways had high, high hopes\nHad to have high, high hopes for a living\nDidn't know how but I always had a feeling\nI was gonna be that one in a million\nAlways had high, high hopes (High, high hopes)\n\n[Verse 2]\nMama said, it's uphill for oddities\nThe stranger crusaders, ain't ever wannabes\nThe weird and the novelties don't ever change\nWe wanted everything, wanted everything (High, high hopes)\n\n[Bridge]\nStay up on that rise\nStay up on that rise and never come down, oh\nStay up on that rise\nStay up on that rise and never come down\n\n[Pre-Chorus]\nMama said don't give up, it's a little complicated\nAll tied up, no more love and I'd hate to see you waiting\nThey say it's all been done but they haven't seen the best of me-eh-eh-eh\nSo I got one more run and it's gonna be a sight to see-eh-eh-eh\n\n[Bridge]\nHad to have high, high hopes for a living\nShooting for the stars when I couldn't make a killing\nDidn't have a dime but I always had a vision\nAlways had high, high hopes (High, high hopes)\nHad to have high, high hopes for a living\nDidn't know how but I always had a feeling\nI was gonna be that one in a million\nAlways had high, high hopes (High, high hopes)\n\n[Chorus]\nHad to have high, high hopes for a living\nShooting for the stars when I couldn't make a killing\nDidn't have a dime but I always had a vision\nAlways had high, high hopes\nHad to have high, high hopes for a living\nDidn't know how but I always had a feeling\nI was gonna be that one in a million\nAlways had high, high hopes (High, high hopes)""]"
0bYg9bo50gSsH3LtXe2SQn	"[""[Intro]\nI-I-I don't want a lot for Christmas\nThere is just one thing I need\nI don't care about the presents\nUnderneath the Christmas tree\nI just want you for my own\nMore than you could ever know\nMake my wish come true\nAll I want for Christmas is you, yeah\n\n[Verse 1]\nI don't want a lot for Christmas\nThere is just one thing I need (And I)\nDon't care about the presents\nUnderneath the Christmas tree\nI don't need to hang my stocking\nThere upon the fireplace (I)\nSanta Claus won't make me happy\nWith a toy on Christmas Day\n\n[Chorus]\nI just want you for my own (ooh, ooh, ooh)\nMore than you could ever know (oh, oh, oh)\nMake my wish come true\nAll I want for Christmas is you\nYou, baby\n\n[Verse 2]\nOh, I won't ask for much this Christmas\nI won't even wish for snow (And I)\nI'm just going to keep on waiting\nUnderneath the mistletoe\nI won't make a list and send it\nTo the North Pole for Saint Nick (I)\nI won't even stay awake to\nHear those magic reindeer click\n\n[Chorus]\n'Cause I just want you here tonight (Ooh, ooh, ooh)\nHolding on to me so tight (Oh, oh, oh)\nWhat more can I do?\nOh baby, all I want for Christmas is you\nYou, baby\n\n[Bridge]\nOh, all the lights are shining\nSo brightly everywhere (So brightly, baby)\nAnd the sound of children's\nLaughter fills the air (Oh, oh)\nAnd everyone is singing (Oh, yeah)\nI hear those sleigh bells ringing (Yeah, oh)\nSanta, won't you bring me the one I really need? (Yeah, oh, oh)\nWon't you please bring my baby to me?, yeah\n\n[Verse 3]\nOh, I don't want a lot for Christmas\nThis is all I'm asking for (Ah)\nI just want to see my baby\nStanding right outside my door\n\n[Chorus]\nOh, I just want you for my own (ooh)\nMore than you could ever know (oh, oh)\nMake my wish come true\nOh baby, all I want for Christmas is...\n\n[Outro]\nYou\nYou, baby all I want for Christmas is you, baby\nYou\nAll, all, all, all I want for Christmas is you, baby\nYou\nAll I want for Christmas is you, baby""]"
5hslUAKq9I9CG2bAulFkHN	"['[Chorus]\nIt\'s the most wonderful time of the year\nWith the kids jingle belling\nAnd everyone telling you ""be of good cheer""\nIt\'s the most wonderful time of the year\n\n[Verse 1]\nIt\'s the hap-happiest season of all\nWith those holiday greetings\nAnd gay happy meetings when friends come to call\nIt\'s the hap-happiest season of all\n\n[Pre-Chorus]\nThere\'ll be parties for hosting\nMarshmallows for toasting\nAnd caroling out in the snow\nThere\'ll be scary ghost stories\nAnd tales of the glories\nOf Christmases long, long ago\n\n[Chorus]\nIt\'s the most wonderful time of the year\nThere\'ll be much mistletoeing\nAnd hearts will be glowing when loved ones are near\nIt\'s the most wonderful time of the year\n\n[Pre-Chorus]\nThere\'ll be parties for hosting\nMarshmallows for toasting\nAnd caroling out in the snow\nThere\'ll be scary ghost stories\nAnd tales of the glories\nOf Christmases long, long ago\n\n[Chorus]\nIt\'s the most wonderful time of the year\nThere\'ll be much mistletoeing\nAnd hearts will be glowing when loved ones are near\nIt\'s the most wonderful time\nIt\'s the most wonderful time\nIt\'s the most wonderful time\nIt\'s the most wonderful time of the year']"
2EjXfH91m7f8HiJN1yQg97	"['[Chorus]\nRockin\' around the Christmas Tree\nAt the Christmas party hop\nMistletoe hung where you can see\nEv\'ry couple tries to stop\n\nRockin\' around the Christmas Tree\nLet the Christmas Spirit ring\nLater we\'ll have some pumpkin pie\nAnd we\'ll do some carolling\n\n[Bridge]\nYou will get a sentimental feeling when you hear\nVoices singing, ""Let\'s be jolly -\nDeck the halls with boughs of holly!""\n\n[Chorus]\nRockin\' around the Christmas Tree\nHave a happy holiday\nEveryone\'s dancing merrily\nIn a new old fashioned way\n\n[Bridge]\nYou will get a sentimental feeling when you hear\nVoices singing, ""Let\'s be jolly -\nDeck the halls with boughs of holly!""\n\n[Chorus]\nRockin\' around the Christmas Tree\nHave a happy holiday\nEveryone\'s dancing merrily\nIn a new old fashioned way']"
0MMSmg7zyo6pOKZrfHUOqu	"[""Have a holly, jolly Christmas;\nIt's the best time of the year\nI don't know if there'll be snow\nBut have a cup of cheer\nHave a holly, jolly Christmas;\nAnd when you walk down the street\nSay Hello to friends you know\nAnd everyone you meet\nOh, ho, the mistletoe\nHung where you can see;\nSomebody waits for you;\nKiss her once for me\nHave a holly jolly Christmas\nAnd in case you didn't hear\nOh by golly, have a holly\nJolly Christmas this year""]"
6Z924AupOiJLdnAKH6UgCu	"[""Jingle bell, jingle bell, jingle bell rock\nJingle bells swing and jingle bells ring\nSnowin' and blowin' up bushels of fun\nNow, the jingle hop has begun\n\nJingle bell, jingle bell, jingle bell rock\nJingle bells chime in jingle bell time\nDancin' and prancin' in Jingle Bell Square\nIn the frosty air\n\nWhat a bright time, it's the right time\nTo rock the night away\nJingle bell time is a swell time\nTo go glidin' in a one-horse sleigh\n\nGiddy-up jingle horse, pick up your feet\nJingle around the clock\nMix and a-mingle in the jinglin' feet\nThat's the jingle bell rock\n\nJingle bell, jingle bell, jingle bell rock\nJingle bells chime in jingle bell time\nDancin' and prancin' in Jingle Bell Square\nIn the frosty air\n\nWhat a bright time, it's the right time\nTo rock the night away\nJingle bell time is a swell time\nTo go glidin' in a one-horse sleigh\n\nGiddy-up jingle horse, pick up your feet\nJingle around the clock\nMix and a-mingle in the jinglin' feet\nThat's the jingle bell\nThat's the jingle bell\nThat's the jingle bell rock""]"
